database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
CHEBI:72737	C25H52NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(17:0)																
CHEBI:131991	C26H56NO6P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		LPC-O(18:0)																
CHEBI:73853	C25H50NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(17:1)																
CHEBI:64561	C24H48NO7P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		LPC(18:0)																
CHEBI:64566	C26H52NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(18:1)																
CHEBI:64549	C26H50NO7P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		LPC(18:2)																
CHEBI:67058	C28H58NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(20:0)																
CHEBI:67057	C28H56NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(20:1)																
CHEBI:67056	C28H54NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(20:2)																
CHEBI:64481	C28H52NO7P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		LPC(20:3)																
CHEBI:64568	C28H50NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(20:4)																
CHEBI:74349	C30H52NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(22:5)																
CHEBI:64567	C30H50NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(22:6)																
CHEBI:74470	C32H66NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		LPC(24:0)																
CHEBI:74471	C32H64NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		LPC(24:1)																
CHEBI:91049	C33H66NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(25:0)																
CHEBI:137619	C34H70NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(26:0)																
CHEBI:137620	C34H68NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(26:1)																
CHEBI:137595	C35H70NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(27:0)																
CHEBI:132584	C36H74NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(28:0)																
CHEBI:137596	C35H68NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(27:1)																
CHEBI:137621	C36H72NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(28:1)																
CHEBI:64592	C24H50NO6P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		LPC-O(16:1)																
CHEBI:64591	C26H54NO6P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		LPC-O(18:1)																
CHEBI:85768	C26H52NO6P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		LPC-O(18:2)																
CHEBI:85564	C32H64NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(24:0)																
CHEBI:72423	C34H68NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(26:0)																
CHEBI:65293	C36H70NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(28:1)																
CHEBI:65303	C38H76NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(30:0)																
CHEBI:65302	C38H74NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(30:1)																
CHEBI:65301	C38H72NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(30:2)																
CHEBI:65300	C38H70NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(30:3)																
CHEBI:134487	C39H78NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(31:0)																
CHEBI:137602	C39H72NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(31:3)																
CHEBI:66850	C40H80NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(32:0)																
CHEBI:66849	C40H78NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(32:1)																
CHEBI:66848	C40H76NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(32:2)																
CHEBI:66847	C40H74NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(32:3)																
CHEBI:137629	C41H78NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(33:3)																
CHEBI:66846	C40H72NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(32:4)																
CHEBI:66845	C40H70NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(32:5)																
CHEBI:66844	C40H68NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(32:6)																
CHEBI:134587	C41H76NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(33:3)																
CHEBI:137603	C41H74NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(33:4)																
CHEBI:137604	C41H72NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(33:5)																
CHEBI:66855	C42H84NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(34:0)																
CHEBI:64517	C42H82NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(34:1)																
CHEBI:64516	C42H80NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(34:2)																
CHEBI:64424	C42H78NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(34:3)																
CHEBI:137632	C43H82NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(35:3)																
CHEBI:64423	C42H76NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(34:4)																
CHEBI:137633	C43H80NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(35:4)																
CHEBI:66854	C42H74NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(34:5)																
CHEBI:134460	C43H86NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OCC(OC(*)=O)COC(=O)*		PC(35:0)																
CHEBI:66858	C44H88NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(36:0)																
CHEBI:137605	C45H76NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(37:7)																
CHEBI:66857	C44H86NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(36:1)																
CHEBI:64433	C44H84NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(36:2)																
CHEBI:64523	C44H82NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(36:3)																
CHEBI:64520	C44H80NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(36:4)																
CHEBI:64504	C44H78NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(36:5)																
CHEBI:66856	C44H76NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(36:6)																
CHEBI:137634	C45H80NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(37:6)																
CHEBI:66861	C46H92NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(38:0)																
CHEBI:85772	C48H84NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(40:7)																
CHEBI:66860	C46H90NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(38:1)																
CHEBI:137636	C48H82NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(40:8)																
CHEBI:66859	C46H88NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:2)																
CHEBI:64446	C46H86NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:3)																
CHEBI:64526	C46H84NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:4)																
CHEBI:64525	C46H82NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:5)																
CHEBI:64519	C46H80NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:6)																
CHEBI:137606	C47H94NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:0)																
CHEBI:137607	C47H92NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:1)																
CHEBI:137608	C47H90NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:2)																
CHEBI:137610	C47H80NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:7)																
CHEBI:66865	C48H94NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:1)																
CHEBI:137616	C49H82NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:8)																
CHEBI:66864	C48H92NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:2)																
CHEBI:66863	C48H90NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:3)																
CHEBI:66862	C48H88NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:4)																
CHEBI:64524	C48H86NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:5)																
CHEBI:64431	C48H84NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(40:6)																
CHEBI:64521	C48H82NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(40:7)																
CHEBI:66971	C50H100NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:0)																
CHEBI:66970	C50H98NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:1)																
CHEBI:66969	C50H96NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:2)																
CHEBI:66968	C50H94NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(42:3)																
CHEBI:66967	C50H92NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:4)																
CHEBI:66966	C50H90NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(42:5)																
CHEBI:66965	C50H88NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:6)																
CHEBI:137617	C51H98NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(43:2)																
CHEBI:66978	C52H102NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(44:1)																
CHEBI:66976	C52H98NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(44:3)																
CHEBI:66974	C52H94NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(44:5)																
CHEBI:66973	C52H92NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(44:6)																
CHEBI:137618	C52H90NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(44:7)																
CHEBI:72429	C54H106NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(46:1)																
CHEBI:72430	C54H104NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(46:2)																
CHEBI:137622	C37H76NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(29:0)																
CHEBI:85565	C38H78NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(30:0)																
CHEBI:134575	C37H74NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(29:0)																
CHEBI:85566	C38H76NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(30:1)																
CHEBI:131438	C37H72NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(29:1)																
CHEBI:85567	C38H74NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(30:2)																
CHEBI:137597	C37H70NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(29:2)																
CHEBI:85844	C39H80NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(31:0)																
CHEBI:137623	C39H78NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(31:1)																
CHEBI:137624	C39H74NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(31:3)																
CHEBI:85845	C40H82NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(32:0)																
CHEBI:72347	C40H80NO7P	C[N+](C)([CH2-])CCO[P+]([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(32:1)																
CHEBI:72426	C39H76NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(31:1)																
CHEBI:85568	C40H78NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(32:2)																
CHEBI:137601	C39H74NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(31:2)																
CHEBI:137625	C40H76NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(32:3)																
CHEBI:137627	C41H84NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(33:0)																
CHEBI:137628	C41H82NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(33:1)																
CHEBI:91320	C41H80NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(33:2)																
CHEBI:137630	C41H76NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(33:4)																
CHEBI:137631	C41H72NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(33:6)																
CHEBI:67077	C42H86NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(34:0)																
CHEBI:134439	C41H82NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OCC(OC(*)=O)COC(=O)*		PC(33:0)																
CHEBI:67076	C42H84NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(34:1)																
CHEBI:86472	C41H80NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(33:1)																
CHEBI:64544	C42H82NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(34:2)																
CHEBI:85853	C41H78NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(33:2)																
CHEBI:64541	C42H80NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(34:3)																
CHEBI:67075	C42H78NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(34:4)																
CHEBI:67067	C44H90NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:0)																
CHEBI:137635	C45H78NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC-O(37:7)																
CHEBI:67066	C44H88NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:1)																
CHEBI:134273	C43H84NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(35:1)																
CHEBI:67065	C44H86NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:2)																
CHEBI:85766	C43H82NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(35:2)																
CHEBI:64537	C44H84NO7P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		PC-O(36:3)																
CHEBI:131439	C43H80NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(35:3)																
CHEBI:67064	C44H82NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:4)																
CHEBI:91322	C43H78NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(35:4)																
CHEBI:64540	C44H80NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:5)																
CHEBI:136376	C43H76NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(35:5)																
CHEBI:64538	C44H78NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(36:6)																
CHEBI:67071	C46H94NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(38:0)																
CHEBI:64498	C46H78NO8P	[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O		PC(38:7)																
CHEBI:134501	C45H90NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(37:0)																
CHEBI:67070	C46H92NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(38:1)																
CHEBI:134494	C45H88NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OCC(OC(*)=O)COC(=O)*		PC(37:1)																
CHEBI:67069	C46H90NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(38:2)																
CHEBI:136072	C45H86NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(37:2)																
CHEBI:67068	C46H88NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(38:3)																
CHEBI:134648	C45H84NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(37:3)																
CHEBI:64480	C46H86NO7P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		PC-O(38:4)																
CHEBI:72427	C45H82NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(37:4)																
CHEBI:64445	C46H84NO7P	[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC		PC-O(38:5)																
CHEBI:85767	C45H80NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(37:5)																
CHEBI:64536	C46H82NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(38:6)																
CHEBI:134242	C45H78NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(37:6)																
CHEBI:85569	C48H98NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:0)																
CHEBI:85574	C48H96NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:1)																
CHEBI:85851	C48H80NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(40:8)																
CHEBI:72348	C48H94NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:2)																
CHEBI:85850	C48H78NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(40:9)																
CHEBI:85570	C48H92NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:3)																
CHEBI:137609	C47H88NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:3)																
CHEBI:85571	C48H90NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:4)																
CHEBI:131427	C47H86NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:4)																
CHEBI:85573	C48H88NO7	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(40:5)																
CHEBI:131428	C47H84NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:5)																
CHEBI:64533	C48H86NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(40:6)																
CHEBI:131430	C47H82NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(39:6)																
CHEBI:85582	C50H102NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:0)																
CHEBI:131440	C50H86NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:7)																
CHEBI:85583	C50H100NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:1)																
CHEBI:137611	C49H96NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:1)																
CHEBI:85584	C50H98NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:2)																
CHEBI:137612	C49H94NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:2)																
CHEBI:85585	C50H96NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:3)																
CHEBI:85769	C50H80NO8P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O		PC(42:10)																
CHEBI:137613	C49H92NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:3)																
CHEBI:85588	C50H94NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:4)																
CHEBI:137614	C49H90NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:4)																
CHEBI:85590	C50H92NO7P	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]		PC-O(42:5)																
CHEBI:137615	C49H88NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(*)=O)COC(=O)*		PC(41:5)																
CHEBI:85847	C50H90NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(42:6)																
CHEBI:67085	C52H100NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(44:3)																
CHEBI:136111	C52H84NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		PC(44:10)																
CHEBI:67084	C52H98NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(44:4)																
CHEBI:67083	C52H96NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(44:5)																
CHEBI:132582	C52H80NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(44:12)																
CHEBI:67082	C52H94NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		PC-O(44:6)																
CHEBI:91052	C51H90NO8P	[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O		PC(43:6)																
CHEBI:72505	C35H71N2O6P	C[N+](C)(C)CCOP([O-])(=O)OC[C@H](NC([*])=O)[C@H](O)[*]		SM(30:1)																
