Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677458	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#1_liverextract-47	FIA-positive mass spectrometry	2017-06-07 14:15:07.677473	louis	assay-name-47_platform-FIA_run-0	FIA	Agilent QTOF	positive	2	acquired-data-47_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646313	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liverextract-30	FIA-positive mass spectrometry	2017-06-07 14:15:07.646404	louis	assay-name-30_platform-FIA_run-1	FIA	Agilent QTOF	positive	68	acquired-data-30_platform-FIA_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646313	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liverextract-30	FIA-positive mass spectrometry	2017-06-07 14:15:07.646323	louis	assay-name-30_platform-FIA_run-0	FIA	Agilent QTOF	positive	33	acquired-data-30_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676885	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#1_liverextract-31	FIA-positive mass spectrometry	2017-06-07 14:15:07.676897	louis	assay-name-31_platform-FIA_run-0	FIA	Agilent QTOF	positive	23	acquired-data-31_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646521	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liverextract-32	FIA-positive mass spectrometry	2017-06-07 14:15:07.646618	louis	assay-name-32_platform-FIA_run-1	FIA	Agilent QTOF	positive	61	acquired-data-32_platform-FIA_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646521	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liverextract-32	FIA-positive mass spectrometry	2017-06-07 14:15:07.646549	louis	assay-name-32_platform-FIA_run-0	FIA	Agilent QTOF	positive	40	acquired-data-32_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676939	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#1_liverextract-33	FIA-positive mass spectrometry	2017-06-07 14:15:07.676952	louis	assay-name-33_platform-FIA_run-0	FIA	Agilent QTOF	positive	22	acquired-data-33_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646700	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liverextract-34	FIA-positive mass spectrometry	2017-06-07 14:15:07.646818	louis	assay-name-34_platform-FIA_run-0	FIA	Agilent QTOF	positive	89	acquired-data-34_platform-FIA_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.646700	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liverextract-34	FIA-positive mass spectrometry	2017-06-07 14:15:07.646929	louis	assay-name-34_platform-FIA_run-1	FIA	Agilent QTOF	positive	8	acquired-data-34_platform-FIA_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676998	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#1_liverextract-35	FIA-positive mass spectrometry	2017-06-07 14:15:07.677011	louis	assay-name-35_platform-FIA_run-0	FIA	Agilent QTOF	positive	9	acquired-data-35_platform-FIA_run-0.mzml.gz
