Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957985	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#2_sample#0_liverextract-12	FIA-negative mass spectrometry	2017-07-05 14:57:38.958089	louis	assay-name-12_platform-FIA_run-1	FIA	Agilent QTOF	negative	74	acquired-data-12_platform-FIA_run-1.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958227	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#3_sample#0_liverextract-13	FIA-negative mass spectrometry	2017-07-05 14:57:38.958330	louis	assay-name-13_platform-FIA_run-1	FIA	Agilent QTOF	negative	6	acquired-data-13_platform-FIA_run-1.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958227	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#3_sample#0_liverextract-13	FIA-negative mass spectrometry	2017-07-05 14:57:38.958251	louis	assay-name-13_platform-FIA_run-0	FIA	Agilent QTOF	negative	12	acquired-data-13_platform-FIA_run-0.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958410	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#4_sample#0_liverextract-14	FIA-negative mass spectrometry	2017-07-05 14:57:38.958512	louis	assay-name-14_platform-FIA_run-1	FIA	Agilent QTOF	negative	51	acquired-data-14_platform-FIA_run-1.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958410	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#4_sample#0_liverextract-14	FIA-negative mass spectrometry	2017-07-05 14:57:38.958436	louis	assay-name-14_platform-FIA_run-0	FIA	Agilent QTOF	negative	14	acquired-data-14_platform-FIA_run-0.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959693	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#0_sample#0_liverextract-25	FIA-negative mass spectrometry	2017-07-05 14:57:38.959705	louis	assay-name-25_platform-FIA_run-0	FIA	Agilent QTOF	negative	28	acquired-data-25_platform-FIA_run-0.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959693	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#0_sample#0_liverextract-25	FIA-negative mass spectrometry	2017-07-05 14:57:38.959747	louis	assay-name-25_platform-FIA_run-1	FIA	Agilent QTOF	negative	27	acquired-data-25_platform-FIA_run-1.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959786	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#1_sample#0_liverextract-26	FIA-negative mass spectrometry	2017-07-05 14:57:38.959843	louis	assay-name-26_platform-FIA_run-1	FIA	Agilent QTOF	negative	39	acquired-data-26_platform-FIA_run-1.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959786	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#1_sample#0_liverextract-26	FIA-negative mass spectrometry	2017-07-05 14:57:38.959799	louis	assay-name-26_platform-FIA_run-0	FIA	Agilent QTOF	negative	42	acquired-data-26_platform-FIA_run-0.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959889	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#2_sample#0_liverextract-27	FIA-negative mass spectrometry	2017-07-05 14:57:38.959901	louis	assay-name-27_platform-FIA_run-0	FIA	Agilent QTOF	negative	26	acquired-data-27_platform-FIA_run-0.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959889	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#2_sample#0_liverextract-27	FIA-negative mass spectrometry	2017-07-05 14:57:38.959941	louis	assay-name-27_platform-FIA_run-1	FIA	Agilent QTOF	negative	19	acquired-data-27_platform-FIA_run-1.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959986	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#3_sample#0_liverextract-28	FIA-negative mass spectrometry	2017-07-05 14:57:38.959997	louis	assay-name-28_platform-FIA_run-0	FIA	Agilent QTOF	negative	15	acquired-data-28_platform-FIA_run-0.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959986	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#3_sample#0_liverextract-28	FIA-negative mass spectrometry	2017-07-05 14:57:38.960037	louis	assay-name-28_platform-FIA_run-1	FIA	Agilent QTOF	negative	16	acquired-data-28_platform-FIA_run-1.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960078	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#4_sample#0_liverextract-29	FIA-negative mass spectrometry	2017-07-05 14:57:38.960134	louis	assay-name-29_platform-FIA_run-1	FIA	Agilent QTOF	negative	4	acquired-data-29_platform-FIA_run-1.mzml.gz
studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960078	rick	studygroup_eaf76305-6061-42b2-9142-477678eb7954_subject#4_sample#0_liverextract-29	FIA-negative mass spectrometry	2017-07-05 14:57:38.960091	louis	assay-name-29_platform-FIA_run-0	FIA	Agilent QTOF	negative	55	acquired-data-29_platform-FIA_run-0.mzml.gz
