"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan m/z range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file content]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument manufacturer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of scans]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Time range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection Order]"	"Term Source REF"	"Term Accession Number"
"PS__QC06_MSMS"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC06_MSMS_200_400"	"rat_plasma_sunitinib/RP_C18_positive/QC06_MSMS_200_400.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC06_MSMS_200_400.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"7"	""	""
"PS__QC06_MSMS"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC07_MSMS_400_700"	"rat_plasma_sunitinib/RP_C18_positive/QC07_MSMS_400_700.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC07_MSMS_400_700.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"8"	""	""
"PS__QC06_MSMS"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC08_MSMS_700_1500"	"rat_plasma_sunitinib/RP_C18_positive/QC08_MSMS_700_1500.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC08_MSMS_700_1500.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"9"	""	""
"PS__QC09"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC09"	"rat_plasma_sunitinib/RP_C18_positive/QC09.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC09.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"10"	""	""
"PS__QC10"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC10"	"rat_plasma_sunitinib/RP_C18_positive/QC10.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC10.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"11"	""	""
"PS__AZ_136"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_136"	"rat_plasma_sunitinib/RP_C18_positive/AZ_136.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_136.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"12"	""	""
"PS__AZ_83"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_83"	"rat_plasma_sunitinib/RP_C18_positive/AZ_83.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_83.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"13"	""	""
"PS__AZ_102"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_102"	"rat_plasma_sunitinib/RP_C18_positive/AZ_102.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_102.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"14"	""	""
"PS__QC11"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC11"	"rat_plasma_sunitinib/RP_C18_positive/QC11.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC11.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"15"	""	""
"PS__AZ_75"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_75"	"rat_plasma_sunitinib/RP_C18_positive/AZ_75.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_75.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"16"	""	""
"PS__AZ_87"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_87"	"rat_plasma_sunitinib/RP_C18_positive/AZ_87.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_87.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"17"	""	""
"PS__AZ_121"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_121"	"rat_plasma_sunitinib/RP_C18_positive/AZ_121.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_121.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"18"	""	""
"PS__AZ_91"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_91"	"rat_plasma_sunitinib/RP_C18_positive/AZ_91.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_91.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"19"	""	""
"PS__QC12"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC12"	"rat_plasma_sunitinib/RP_C18_positive/QC12.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/QC12.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"20"	""	""
"PS__AZ_111"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_111"	"rat_plasma_sunitinib/RP_C18_positive/AZ_111.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_111.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"21"	""	""
"PS__AZ_94"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ_94"	"rat_plasma_sunitinib/RP_C18_positive/AZ_94.raw"	"Data transformation"	""	"rat_plasma_sunitinib/RP_C18_positive/AZ_94.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"22"	""	""
