Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Gender]	Term Source REF	Term Accession Number	Factor Value[Group]	Term Source REF	Term Accession Number	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Biological Replicate]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time (Hrs)]	Unit	Term Source REF	Term Accession Number	Factor Value[Time (Days)]	Unit	Term Source REF	Term Accession Number
CT__35	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__35	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			35						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC12	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC12																							
CT__61	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__61	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	7			61						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__30	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__30	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			30						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__64	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__64	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	7			64						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC13	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC13																							
CT__27	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__27	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			27						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__62	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__62	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	7			62						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__69	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__69	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			69						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC14	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC14																							
CT__31	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__31	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			31						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__29	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__29	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			29						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__66	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__66	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			66						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC15	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC15																							
CT__QC16	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC16																							
CT__extract_blank_end	blank			blank			blank			Sample collection	CT__extract_blank_end																							
CT__Sunitinib_new_MSMS							reference compound			Sample collection	CT__Sunitinib_new_MSMS																							
CT__AZ_compound_MSMS							reference compound			Sample collection	CT__AZ_compound_MSMS																							
CT__68_SUN_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68_SUN_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_2	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68_SUN_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68_SUN_Heart_3	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_2	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__67_SUN_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__67_SUN_Heart_3	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_1	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_2	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__70_SUN_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70_SUN_Heart_3	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_1	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_2	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_3	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_4	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_4	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__34_AZ_Heart_5	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__34_AZ_Heart_5	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			34						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_1	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_2	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_3	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_4	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_4	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33_AZ_Heart_5	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33_AZ_Heart_5	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_1	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_1	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_2	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_2	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_3	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_3	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_4	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_4	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__32_AZ_Heart_5	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_5	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			32						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC01	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC01																							
PS__QC02	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC02																							
PS__QC03	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC03																							
PS__QC04	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC04																							
PS__Extract_blank_start	blank			blank			blank			Sample collection	PS__Extract_blank_start																							
PS__QC05	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC05																							
PS__QC06_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC06_MSMS																							
PS__QC07_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC07_MSMS																							
PS__QC08_MSMS	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC08_MSMS																							
PS__QC09	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC09																							
PS__QC10	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC10																							
PS__AZ_136	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_136	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			48						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_83	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_83	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			63						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_102	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_102	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			66						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC11	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC11																							
PS__AZ_75	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_75	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			69						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_87	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_87	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			54						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_121	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_121	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			50						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			53						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC12	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC12																							
PS__AZ_111	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_111	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			62						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_94	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_94	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			50						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_79	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_79	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			51						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC13	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC13																							
PS__AZ_130	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_130	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			47						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_66	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_66	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_134	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_134	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			64						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_115	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_115	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			49						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC14	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC14																							
PS__AZ_74	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_74	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			63						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_95	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_95	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			52						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_114	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_114	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			46						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_106	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_106	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			67						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC15	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC15																							
PS__AZ_82	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_82	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			61						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			55						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_78	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_78	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			47						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_116	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_116	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	6			54						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_69	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_69	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			64						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC16	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC16																							
PS__AZ_129	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_129	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_61	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_61	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	5			48						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_133	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_133	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	9			66						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC17	"WIST, Rat Strain"			blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	PS__QC17																							
